"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
48.65879742,38.927037936,48.65879742,0,0,189.5,151.6,189.5,0,0,451,360.8,451,0,0,359.5,287.6,359.5,0,0,6.31247445,5.04997956,6.31247445,0,0,101.0794935,80.8635948,101.0794935,0,0,0.91769052,0.734152416,0.91769052,0,0,17.10382924,13.683063392,17.10382924,0,0
19.5080095,39.016019,29.26201425,0,0,75.8,151.6,113.7,0,0,180.4,360.8,270.6,0,0,143.8,287.6,215.7,0,0,2.597646632,5.195293264,3.896469948,0,0,40.36811788,80.73623576,60.55217682,0,0,0.364482876,0.728965752,0.546724314,0,0,6.875204012,13.750408024,10.312806018,0,0
29.229056334,38.972075112,29.229056334,0,4.871509389,113.7,151.6,113.7,0,18.95,270.6,360.8,270.6,0,45.1,215.7,287.6,215.7,0,35.95,3.850235286,5.133647048,3.850235286,0,0.641705881,60.94895784,81.26527712,60.94895784,0,10.15815964,0.551181888,0.734909184,0.551181888,0,0.091863648,10.30033467,13.73377956,10.30033467,0,1.716722445
39.00823756,48.76029695,29.25617817,0,0,151.6,189.5,113.7,0,0,360.8,451,270.6,0,0,287.6,359.5,215.7,0,0,5.034920168,6.29365021,3.776190126,0,0,80.11670632,100.1458829,60.08752974,0,0,0.73904412,0.92380515,0.55428309,0,0,13.771710104,17.21463763,10.328782578,0,0
77.885184,38.942592,48.67824,0,4.867824,303.2,151.6,189.5,0,18.95,721.6,360.8,451,0,45.1,575.2,287.6,359.5,0,35.95,10.01791216,5.00895608,6.2611951,0,0.62611951,163.13455312,81.56727656,101.9590957,0,10.19590957,1.487459968,0.743729984,0.92966248,0,0.092966248,27.56907128,13.78453564,17.23066955,0,1.723066955
39.17500716,39.17500716,29.38125537,0,4.896875895,151.6,151.6,113.7,0,18.95,360.8,360.8,270.6,0,45.1,287.6,287.6,215.7,0,35.95,5.286937392,5.286937392,3.965203044,0,0.660867174,79.629491088,79.629491088,59.722118316,0,9.953686386,0.72777284,0.72777284,0.54582963,0,0.090971605,13.870584408,13.870584408,10.402938306,0,1.733823051
39.0387198,48.79839975,29.27903985,9.75967995,4.879839975,151.6,189.5,113.7,37.9,18.95,360.8,451,270.6,90.2,45.1,287.6,359.5,215.7,71.9,35.95,5.065719752,6.33214969,3.799289814,1.266429938,0.633214969,80.18978992,100.2372374,60.14234244,20.04744748,10.02372374,0.710007592,0.88750949,0.532505694,0.177501898,0.088750949,13.91856904,17.3982113,10.43892678,3.47964226,1.73982113
48.90749451,39.125995608,29.344496706,0,4.890749451,189.5,151.6,113.7,0,18.95,451,360.8,270.6,0,45.1,359.5,287.6,215.7,0,35.95,6.21444283,4.971554264,3.728665698,0,0.621444283,101.7371403,81.38971224,61.04228418,0,10.17371403,0.91031526,0.728252208,0.546189156,0,0.091031526,17.22726165,13.78180932,10.33635699,0,1.722726165
43.685847027,67.955762042,29.123898018,0,4.853983003,170.55,265.3,113.7,0,18.95,405.9,631.4,270.6,0,45.1,323.55,503.3,215.7,0,35.95,5.807993346,9.034656316,3.871995564,0,0.645332594,91.87736427,142.92034442,61.25157618,0,10.20859603,0.820850049,1.276877854,0.547233366,0,0.091205561,15.48028449,24.08044254,10.32018966,0,1.72003161
29.252808132,97.50936044,29.252808132,0,0,113.7,379,113.7,0,0,270.6,902,270.6,0,0,215.7,719,215.7,0,0,3.858613818,12.86204606,3.858613818,0,0,58.791656052,195.97218684,58.791656052,0,0,0.54506793,1.8168931,0.54506793,0,0,10.317498666,34.39166222,10.317498666,0,0
